group,tree_name,study,year,journal,doi,tips,dated,crown_ma,format_original,data_source,download_url,species_count_source,described_species,coverage_pct,methods_brief,notes
primates,10ktrees_primates_consensus_v3.nex,"Arnold C, Matthews LJ, Nunn CL",2010,Evolutionary Anthropology,10.1002/evan.20251,301,TRUE,73,Nexus,10kTrees,https://10ktrees.nunn-lab.org/,IUCN Red List 2025,522,57.7,"Bayesian from molecular data, all recognized primate species",Interactive web download; 100 posterior available
parrots,burgio2019_parrot_supertree_398sp.tre,"Burgio KR et al.",2019,Data in Brief,,413,TRUE,,Newick,Figshare,https://figshare.com/articles/dataset/5877324,,413,100,"MRP supertree from 188 source trees, time-calibrated",398 extant + 15 extinct species
carnivora,nyakatura2012_carnivora_supertree.nex,"Nyakatura K, Bininda-Emonds ORP",2012,BMC Biology,10.1186/1741-7007-10-12,294,TRUE,106,Nexus,Dryad,https://datadryad.org/dataset/doi:10.5061/dryad.r7sqv9sm6,,294,100,"Supertree from 188 source trees + 74 gene trees, 45000 bp","Includes outgroups (Homo, Rattus, Mus)"
seed_plants,ALLMB.tre,"Smith SA, Brown JW",2018,American Journal of Botany,10.1002/ajb2.1019,356305,TRUE,325,Newick,GitHub,https://github.com/FePhyFoFum/big_seed_plant_trees,World Flora Online 2025,383671,92.9,"7 gene regions, ~80K with data extended to ~356K via taxonomy, RAxML ML, treePL",6 tree variants available (ALLMB ALLOTB GBMB GBOTB + dated)
ferns,ftol_sanger_con_dated.tre,"Nitta JH, Schuettpelz E, Ramirez-Barahona S, Iwasaki W",2022,Frontiers in Plant Science,10.3389/fpls.2022.909768,6234,TRUE,475,Newick,GitHub,https://github.com/fernphy/ftol_data,PPG I,12000,52.0,"Automated pipeline combining plastomes + plastid regions, continuously updated",Also ML and undated versions; R package ftolr available
bryophytes,goffinet2023_bryophyte_dated_531sp.tre,"Bechteler J et al.",2023,American Journal of Botany,10.1002/ajb2.16249,533,TRUE,,Newick,Dryad,https://datadryad.org/stash/dataset/doi:10.5061/dryad.3j9kd51qm,Catalogue of Life 2025,24000,2.2,"405 exons (228 nuclear genes), 52/54 bryophyte orders, 29 fossil calibrations",Also ASTRAL and RAxML trees
grasses,gpwg3_2025_astral_nuclear.tre,"Grass Phylogeny Working Group III",2025,New Phytologist,10.1111/nph.20263,1153,FALSE,,Newick,Zenodo,https://zenodo.org/records/10996137,Catalogue of Life 2025,12000,9.6,"331 nuclear genes from 1153 tips, ASTRAL coalescent",Also plastome RAxML tree (910 tips)
orchids,orchid_reltime_1475sp.tre,"Thompson JB, Davis KE, Dodd HO, Wills MA, Priest NK",2023,PNAS,10.1073/pnas.2102408120,1475,TRUE,,Newick,Dryad,https://datadryad.org/stash/dataset/doi:10.5061/dryad.fttdz08rv,Catalogue of Life 2025,28000,5.3,"Speciation in terrestrial orchids, reltime + treePL dated",Also treePL dated version
asteraceae,mandel2019_asteraceae_raxml_256sp.tre,"Mandel JR et al.",2019,PNAS,10.1073/pnas.1903871116,256,FALSE,,Newick,Figshare,https://doi.org/10.6084/m9.figshare.7695929,Catalogue of Life 2025,34000,0.8,"935 nuclear loci, 942707 bp, RAxML ML",Also Bayesian and ASTRAL trees
solanaceae,sarkinen2013_solanaceae_1076sp.nex,"Sarkinen TE, Bohs L, Olmstead R, Knapp S",2013,BMC Evolutionary Biology,10.1186/1471-2148-13-214,1076,TRUE,49,Nexus,TreeBASE,TreeBASE S14458,,,,Dated 1000-tip tree of nightshades,
cacti,cactecodb2026_cactus_v1.tre,"Thompson J et al.",2026,Scientific Data,10.1038/s41597-026-06936-7,1063,TRUE,,Newick,GitHub,https://github.com/jamie-thompson/CactEcoDB,Catalogue of Life 2025,1900,55.9,"Largest time-calibrated cactus phylogeny, part of CactEcoDB database",2026 publication; also V2 available
eucalyptus,crisp2024_eucalyptus_ML1.tre,"Crisp MD et al.",2024,Journal of Systematics and Evolution,10.1111/jse.13047,399,FALSE,,Newick,Dryad,https://datadryad.org/dataset/doi:10.5061/dryad.7sqv9s4wq,,,,"101 nuclear exons, 392 samples/329 species, IQtree + RAxML",
conifers,ran2018_pinaceae_16genera.tre,"Ran JH, Shen TT, Wu H, Gong X, Wang XQ",2018,Molecular Phylogenetics and Evolution,10.1016/j.ympev.2018.08.011,16,TRUE,,Newick,Dryad,https://datadryad.org/dataset/doi:10.5061/dryad.q2s7q8m,,,,Transcriptomic analysis of Pinaceae,Genus-level only (16 genera)
insects,insectphylo_insecta_v2.nwk,"Chesters D et al.",2023,Molecular Ecology Resources,10.1111/1755-0998.13817,53596,FALSE,,Newick,insectphylo.org,https://insectphylo.org/,Catalogue of Life 2025,1000000,5.4,"Synthesis molecular phylogeny from GenBank data, continuously updated",Also 24 order-level trees; v2 Feb 2026
insects_chesters,chesters2017_insecta_species_level.nwk,"Chesters D",2017,Systematic Biology,10.1093/sysbio/syw099,49338,FALSE,,Newick,Dryad,https://datadryad.org/dataset/doi:10.5061/dryad.27114,Catalogue of Life 2025,1000000,4.9,"440 transcriptomes + 1490 mitogenomes + species-rich markers",Also processed ultrametric version
butterflies,kawahara2023_butterfly_dated_2244sp.tre,"Kawahara AY et al.",2023,Nature Ecology & Evolution,10.1038/s41559-023-02041-9,2258,TRUE,142,Nexus,Figshare,https://doi.org/10.6084/m9.figshare.21774899,Catalogue of Life 2025,19000,11.9,"391 nuclear loci from ~2300 species, ML, treePL dating",92% of butterfly genera; also ML and RevBayes trees
bees,beetree2023_chronograms_1001.nwk,"Henriquez-Piskulich PA et al.",2024,Molecular Phylogenetics and Evolution,10.1016/j.ympev.2023.107963,4586,TRUE,,Newick,BeeTree,http://beetreeoflife.org/downloads/,Discover Life,20507,22.4,"Supermatrix of all available bee sequences, IQ-TREE ML, treePL",1001 chronograms + 520 bootstrap trees
spiders,garrison2016_spider_dated_1456sp.tre,"Garrison NL et al.",2016,PeerJ,10.7717/peerj.1719,1456,TRUE,366,Newick,Zenodo,https://zenodo.org/records/3941712,World Spider Catalog 2025,52249,2.8,"UCEs + transcriptomes, time-calibrated",Also alternative calibration and ML backbone
hemiptera,johnson2018_hemiptera_ML_aa.tre,"Johnson KP et al.",2018,PNAS,10.1073/pnas.1815820115,193,FALSE,,Newick,Dryad,https://datadryad.org/dataset/doi:10.5061/dryad.t4f4g85,,,,Phylogenomics of hemipteroid insects; 2395 genes,
termites,termite2024_astral_majority_rule.tre,"Hellemans S et al.",2024,Nature Communications,10.1038/s41467-024-51028-y,138,FALSE,,Newick,Dryad,https://datadryad.org/stash/dataset/doi:10.5061/dryad.02v6wwqbm,,,,Genomic data on termite classification; UCE phylogenomics,Genus-level representatives
crustaceans,wolfe2019_decapoda_bayesian_94sp.tre,"Wolfe JM et al.",2019,Proceedings of the Royal Society B,10.1098/rspb.2019.0079,95,FALSE,,Newick,Dryad,https://datadryad.org/dataset/doi:10.5061/dryad.k7505mn,WoRMS,77000,0.1,"410 loci from anchored hybrid enrichment, 94 species/58 families",Also ML and ASTRAL trees
ants,romiguier2022_ant_astral.tre,"Romiguier J et al.",2022,Current Biology,10.1016/j.cub.2022.05.014,83,FALSE,,Newick,Zenodo,https://doi.org/10.5281/zenodo.5705739,,,,65 genomes; 17 ant subfamilies; supermatrix + supertree,Subfamily/genus level
corals,coral_scleractinia_mcc.nex,"Vaga CF, Quattrini AM et al.",2025,Nature,10.1038/s41586-025-09615-6,289,TRUE,573,Nexus,Figshare,https://doi.org/10.6084/m9.figshare.29242487,WoRMS,1633,17.7,"Hybrid-capture phylogenomics, BEAST dating",Also penalized likelihood tree
cephalopods,cephalopod_consensus.tre,"Basava K et al.",2024,bioRxiv,10.1101/2024.04.29.591691,81,TRUE,,Newick,GitHub,https://github.com/kcbasava/ceph-brain-evolution,WoRMS,800,10.1,"Lindgren phylogeny extended with BEAST dating",Octopus squid cuttlefish; preprint
gastropods,zapata2014_gastropoda_ML.tre,"Zapata F et al.",2014,Proceedings of the Royal Society B,10.1098/rspb.2014.1739,54,FALSE,,Nexus,Dryad,https://datadryad.org/dataset/doi:10.5061/dryad.5bc98,WoRMS,65000,0.1,"Transcriptome data, 40 species, 5 main gastropod clades",Backbone phylogeny only
sponges,lavrov2023_demosponge_chronogram.tre,"Lavrov DV et al.",2023,PLOS ONE,10.1371/journal.pone.0287281,120,TRUE,526,Newick,GitHub,https://github.com/lavrovlab/Demosponge-phylogeny-supplementary-data,WoRMS,9470,1.3,"136 demosponge mitochondrial genomes, PhyloBayes",Also Bayesian and RAxML trees
echinoderms,koch2022_echinoid_chronogram.tre,"Mongiardino Koch N, Thompson JR",2022,eLife,10.7554/eLife.72460,66,TRUE,571,Newick,Dryad,https://datadryad.org/stash/dataset/doi:10.5061/dryad.brv15dv9t,WoRMS,7550,0.9,"18 novel genomes/transcriptomes, near-complete major lineage sampling",Bayesian dating
nematodes,nematoda_50p_aa_ML.tre,"Qing X et al.",2025,Systematic Biology,10.1093/sysbio/syae073,166,FALSE,,Newick,Dryad,https://datadryad.org/stash/dataset/doi:10.5061/dryad.b2rbnzsnt,Catalogue of Life 2025,25000,0.7,"60 newly sequenced genomes, 8 nematode orders, 156+10 taxa",Also nucleotide and ASTRAL trees
diatoms,theriot2018_diatom_astral.tre,"Parks MB, Wickett NJ, Alverson AJ",2018,Molecular Biology and Evolution,10.1093/molbev/msx268,94,FALSE,,Newick,Zenodo,https://zenodo.org/records/344519,AlgaeBase,20000,0.5,"Phylogenomics from transcriptomes, ASTRAL species tree",Also ML concatenated tree
bacteria,gtdb_bacteria_136646sp.tre,"Parks DH et al.",2025,Nucleic Acids Research,10.1093/nar/gkaf1040,136646,FALSE,,Newick,GTDB,https://gtdb.ecogenomic.org/,GTDB R10,715230,19.1,"120 concatenated marker proteins, FastTree",Tips are genome accession IDs (species cluster representatives)
archaea,gtdb_archaea_6968sp.tre,"Parks DH et al.",2025,Nucleic Acids Research,10.1093/nar/gkaf1040,6968,FALSE,,Newick,GTDB,https://gtdb.ecogenomic.org/,GTDB R10,17245,40.4,"53 concatenated marker proteins, IQ-TREE",Tips are genome accession IDs
fungi,li2021_fungi_1672sp.tre,"Li Y et al.",2021,Current Biology,10.1016/j.cub.2021.01.074,1672,FALSE,,Newick,Figshare,https://doi.org/10.6084/m9.figshare.12751736,Species Fungorum 2025,155000,1.1,"290 genes from 1644 genomes, concatenation + coalescent",Genome-scale phylogeny of kingdom Fungi
eukaryotes,williamson2025_eukaryote_root_100sp.tre,"Williamson K et al.",2025,Nature,10.1038/s41586-025-08709-5,100,FALSE,,Newick,Figshare,https://doi.org/10.6084/m9.figshare.26863594,,,,"100 taxa x 93 mitochondrial proteins, all eukaryotic supergroups",Backbone rooting of eukaryotic tree of life
timetree,timetree_hedges2015_50645sp.nwk,"Hedges SB, Marin J, Suleski M, Paymer M, Kumar S",2015,Molecular Biology and Evolution,10.1093/molbev/msv037,50645,FALSE,,Newick,Author collection,,,,,Cross-kingdom megatree; not strictly ultrametric,Recovered from earlier data collection
salamanders,stewart2025_salamander_dated_765sp.tre,"Stewart AA, Wiens JJ",2025,Molecular Phylogenetics and Evolution,10.1016/j.ympev.2024.108272,796,TRUE,,Newick,Dryad,,AmphibiaWeb,814,97.8,"503 genes, time-calibrated with 765 species",Published online Dec 2024; volume year 2025
cetaceans,mcgowen2020_cetacean_dated_85sp.tre,"McGowen MR, Tsagkogeorga G, Alvarez-Carretero S, dos Reis M et al.",2020,Systematic Biology,10.1093/sysbio/syz068,85,TRUE,,Newick,Dryad,,WoRMS,92,92.4,"Target sequence capture, Bayesian dating",85 cetacean species
bivalves,pfeiffer2019_unioverse_73sp.tre,"Pfeiffer JM, Breinholt JW, Page LM",2019,Molecular Phylogenetics and Evolution,10.1016/j.ympev.2019.02.016,73,FALSE,,Newick,Dryad,,WoRMS,20000,0.4,"Anchored hybrid enrichment, freshwater mussels (Unionoida)",Unioverse probe set; freshwater mussels only
bryozoa,SI_Fig2(TRIMMED).newick,"Orr RJS, Di Martino E, Ramsfjell MH, Gordon DP, Berning B, Liow LH et al.",2022,Science Advances,10.1126/sciadv.abm7452,720,FALSE,,Newick,Dryad,https://doi.org/10.5061/dryad.2v6wwpzp9,,,,"17-gene supermatrix, RAxML ML, trimmed alignment with rogue-taxon pruning",Cheilostome-focused bryozoan tree; full 854-tip ML tree also available in the Dryad package
condamine,218 family trees,"Condamine FL, Rolland J, Morlon H",2019,Ecology Letters,10.1111/ele.13356,16643,TRUE,varies,Newick,Figshare,https://doi.org/10.6084/m9.figshare.9555842,,, ,"218 tetrapod family-level time-calibrated trees, compiled from literature",10-680 tips per tree; birds mammals squamates amphibians crocs turtles
