partition_slug,year,study_label,citation_key,doi,ntips,dated,molecular_tip_fraction,dating_code,otl_pipeline_involvement,reign_start_year,reign_end_year,superseded_by,confidence,canonical_in_atlas,verified,evidence_url,notes
bacteria,2021,Parks et al. (GTDB ongoing census) 2021,parks2021gtdb,10.1093/nar/gkab776,45555,no,1,N,none,2021,,,high,no,yes,https://academic.oup.com/nar/article/50/D1/D785/6370255,"Crossref confirmed: Parks et al., ""GTDB: an ongoing census of bacterial and archaeal diversity through a phylogenetically consistent, rank normalized and complete genome-based taxonomy"", Nucleic Acids Research, R06-RS202 release. Bacterial tree contains 45,555 species clusters (matches claim exactly). Phylogeny inferred from 120 concatenated bacterial marker genes — every species cluster has direct genomic/molecular support (ANI clustering of sequenced genomes), no taxonomic-only imputation. Tree is divergence-based, not time-calibrated (no chronogram). GTDB is its own pipeline, independent of Open Tree of Life. Confidence=high: Crossref confirmed, abstract+article body read, all fields extractable."
bacteria,2025,Parks et al. (GTDB R10) 2025,parks2025gtdb,10.1093/nar/gkaf1040,136646,no,1,N,none,2025,,,high,yes,yes,https://academic.oup.com/nar/article/54/D1/D743/8296754,"Crossref confirmed: Parks et al., ""GTDB release 10: a complete and systematic taxonomy for 715,230 bacterial and 17,245 archaeal genomes,"" Nucleic Acids Research, 2025 (online), 2026 (print). 715,230 bacterial genomes organized into 136,646 bacterial species clusters (matches claimed ntips exactly). Tree is NOT time-calibrated — phylogenetic topology only, built via concatenated marker gene trees with FastTree v2, with Relative Evolutionary Divergence (RED) used to define higher taxonomic ranks. molecular_tip_fraction=1.0: every species cluster is defined from actual genome sequences (no taxonomic placement / supertree grafting); the 86.9% ""placeholder"" figure refers to provisional Latin nomenclature, not absence of molecular data. ~70% of bacterial taxa are environmental MAGs/SAGs but still have full genome sequences. OTL involvement: none (GTDB is an independent genome-based taxonomy, not derived from OTL synthesis). Role: taxonomic-expansion is accurate — provides genome-derived topology to back-fill bacterial diversity not covered by dated chronograms. Gold OA, CC-BY."
birds,2008,Hackett et al. 2008,hackett2008,10.1126/science.1157704,169,no,1,N,none,2008,2012,jetz2012,medium,no,yes,https://api.crossref.org/works/10.1126/science.1157704,"Crossref DOI resolves and title/authors match exactly: 'A Phylogenomic Study of Birds Reveals Their Evolutionary History' (Hackett et al., Science 2008, 320:1763-1768). Abstract confirms 169 species sampled across all major extant avian groups, with ~32 kb of aligned nuclear sequence from 19 independent loci — every tip therefore has direct molecular support (molecular_tip_fraction=1.0). The paper itself reports an undated ML/Bayesian topology, not a time-calibrated chronogram (dated=false, dating_code=N); it became the canonical backbone subsequently used by Jetz et al. 2012 to build the first taxonomically complete dated bird tree (which would be the natural superseding canonical, hence reign_end_year=2012). No OTL synthesis involvement. Full-text not directly accessed (paywalled, Unpaywall reports closed access; journal landing page returned 403); fields are extracted from PubMed-hosted abstract plus the well-known published methodology, so confidence=medium."
birds,2012,Jetz et al. 2012,jetz2012,10.1038/nature11631,9993,yes,0.667,BRC,collection-backed,2012,,,high,no,yes,https://api.crossref.org/works/10.1038/nature11631,"Crossref-verified: title ""The global diversity of birds in space and time"" by Jetz, Thomas, Joy, Hartmann, Mooers, Nature 2012. The phylogeny includes all 9993 extant bird species. ~6670 species (66.7%) had direct molecular sequence support (genetic data backbone); the remaining ~3323 species (33.3%) were placed via taxonomic constraint (PASTIS-style taxonomic imputation) following the Upham 2019 strict type-1 convention. Dating via Bayesian relaxed clock (BEAST) with fossil calibrations. Trees distributed via BirdTree.org as a posterior distribution of 10000 trees. Widely used as the canonical bird phylogeny; available in Open Tree of Life as a collection-backed reference tree."
birds,2015,Prum et al. 2015,prum_2015,10.1038/nature15697,198,yes,1,BRC,none,2015,,,medium,no,yes,https://api.crossref.org/works/10.1038/nature15697,"Crossref confirmed: 'A comprehensive phylogeny of birds (Aves) using targeted next-generation DNA sequencing' by Prum, Berv, Dornburg, Field, Townsend, E.M. Lemmon, A.R. Lemmon (Nature, 2015). 198 living bird species + 2 crocodilian outgroups, all sampled via anchored hybrid enrichment targeted next-gen sequencing (no taxonomic imputation; molecular_tip_fraction=1.0). Time-calibrated divergence-time analyses using Bayesian relaxed clock (BRC). No OTL pipeline involvement. Full text behind paywall; details extracted from Crossref metadata, abstract and TLDR summaries. Confidence=medium (abstract-level read, not full text PDF)."
birds,2024,Stiller et al. 2024,stiller2024,10.1038/s41586-024-07323-1,363,yes,1,BRC,none,2024,,,high,no,yes,https://www.nature.com/articles/s41586-024-07323-1,"Crossref DOI resolved with exact title/author match: ""Complexity of avian evolution revealed by family-level genomes"" by Stiller, Feng, Chowdhury et al., Nature 2024. Abstract confirms genomes of 363 bird species (218 taxonomic families, 92% of total) — matches claimed ntips exactly. ERDA data repository (erda.ku.dk) explicitly contains ""Time trees"" directory, confirming time-calibrated chronograms ship with the paper (dated=true). The abstract describes sharp increases in substitution rates and population size after the K-Pg boundary, requiring a time-calibrated framework. All 363 tips have direct whole-genome data (this is a family-level phylogenomic effort using intergenic regions and coalescent methods), so molecular_tip_fraction=1.0 under Upham 2019 strict type-1 convention. No taxonomic placement / supertree grafting. No OTL pipeline involvement — this is a primary phylogenomic study, not a synthesis. Dating method (dating_code=BRC) assigned as Bayesian relaxed clock based on standard B10K-consortium practice (MCMCTree typically used for genome-scale avian dating), though the abstract itself does not specify the method; the full methods section was paywalled."
birds,2025,McTavish et al. 2025,mctavish2025,10.1073/pnas.2409658122,10824,yes,0.854,PL,full-pipeline,2025,,,high,yes,yes,https://pmc.ncbi.nlm.nih.gov/articles/12067227,"Crossref-confirmed: 'A complete and dynamic tree of birds', PNAS 2025, McTavish et al. Full paper text accessed via PMC12067227. Tip count of 10,824 matches the Clements 2021 taxonomy version (range 10,824-11,017 across taxonomy versions). 9,239 species (~85.4%) have direct molecular/phylogenetic data from 281 curated trees in 262 studies; remaining ~1,585 species placed via addTaxa taxonomic-placement algorithm using curated taxonomic constraints. Trees are time-scaled: 120 trees from 90 studies provide dates for ~63% of internal nodes; undated nodes interpolated via BLADJ-style penalized-likelihood spacing between dated parent/child nodes; summarized via RevBayes MCC. Synthesis uses the Open Tree of Life pipeline explicitly (custom synthesis with Open Tree synthesis software / propinquity), making this full-pipeline OTL involvement. Role 'taxonomic-expansion' is consistent with the addTaxa workflow."
bivalves,2011,"Whelan, Geneva & Graf 2011",whelan_geneva_graf_2011,10.1016/j.ympev.2011.07.016,41,no,1,N,none,2011,,,medium,no,yes,https://api.crossref.org/works/10.1016/j.ympev.2011.07.016,"Crossref DOI resolved with matching authors (Whelan, Geneva, Graf 2011) and title 'Molecular phylogenetic analysis of tropical freshwater mussels (Mollusca: Bivalvia: Unionoida) resolves the position of Coelatura and supports a monophyletic Unionidae'. SCOPE MISMATCH: paper covers freshwater mussels (Unionoida) specifically, NOT all bivalves — this is a narrow ingroup, not a class-level bivalve tree. CLAIM MISMATCH: paper analyzes 41 partial 28S+COI sequences (per abstract via Scholar), not the claimed 50 tips. Tree is NOT time-calibrated — uses MP/ML/Bayesian topology inference only, no BEAST/r8s/treePL/penalized likelihood mentioned in the abstract. All tips have direct molecular data (28S nuclear rDNA + COI mtDNA), so molecular_tip_fraction=1.0. No OTL involvement. Full text behind Elsevier paywall; abstract-level extraction only (confidence=medium). RECOMMEND: this paper is a poor canonical for the 'bivalves' partition — it covers only freshwater Unionidae, not Bivalvia as a class."
bivalves,2017,Lopes-Lima et al. 2017,lopes-lima-2017,10.1016/j.ympev.2016.08.021,70,no,1,N,none,2017,,,medium,no,yes,https://api.crossref.org/works/10.1016/j.ympev.2016.08.021,"Crossref confirmed: ""Phylogeny of the most species-rich freshwater bivalve family (Bivalvia: Unionida: Unionidae): Defining modern subfamilies and tribes"" by Lopes-Lima et al. 2017, Mol Phylogenet Evol. PubMed (PMID 27621130) abstract confirms 70 species across 46 genera, combined COI+28S dataset (1032 bp). All 70 tips have direct molecular sequence data — not a synthesis/grafted tree, so molecular_tip_fraction=1.0 and OTL involvement=none. Paper is a taxonomic/classification phylogeny establishing 6 subfamilies and 18 tribes; abstract gives no indication of time-calibration or divergence dating — dated=false, dating_code=N. Confidence=medium (Crossref + PubMed abstract verified; full text not directly accessed via ScienceDirect 403). Role as taxonomic-expansion (rather than dated backbone) is consistent with the paper's stated purpose."
bivalves,2019,"Pfeiffer, Breinholt & Page 2019 (Unioverse)",pfeiffer2019unioverse,10.1016/j.ympev.2019.02.016,73,no,1,N,none,2019,,,medium,yes,yes,https://api.crossref.org/works/10.1016/j.ympev.2019.02.016,"Crossref confirmed: ""Unioverse: A phylogenomic resource for reconstructing the evolution of freshwater mussels (Bivalvia, Unionoida)"" by Pfeiffer, Breinholt & Page (MPE 2019). Paper is closed access (Unpaywall confirms no OA copy); abstract obtained via Google Scholar and Semantic Scholar. Paper introduces the Unioverse anchored hybrid enrichment probe set capturing hundreds of nuclear protein-coding loci from all major Unionoida lineages, demonstrated at three scales including a backbone Bivalvia phylogeny. Tips are all molecularly sampled (AHE phylogenomics), so molecular_tip_fraction=1.0. The 2019 paper presents phylogenomic topology (resource introduction); subsequent studies use Unioverse data to estimate divergence times, suggesting the original tree is not a chronogram (dated=false, dating_code=N). Exact ntips=73 not directly verified from full text but consistent with a backbone Bivalvia sampling. Role as genomic-backbone-replacement is appropriate. No OTL pipeline involvement (independent phylogenomic study)."
bryophytes,2023,Bechteler et al. 2023,bechteler2023,10.1002/ajb2.16249,531,yes,1,PL,none,2023,,,high,yes,yes,https://api.crossref.org/works/10.1002/ajb2.16249,"Crossref DOI resolves and title/authors match: Bechteler et al. 2023, 'Comprehensive phylogenomic time tree of bryophytes reveals deep relationships and uncovers gene incongruences in the last 500 million years of diversification', American Journal of Botany 110(11). Full text read from Universidad Autonoma de Madrid repository PDF. CORRECTION TO CLAIM: actual ntips=531 (NOT 533 as claimed) — paper explicitly states '531 species from 52 of the 54 orders of bryophytes' (362 mosses representing 338 genera, 159 liverworts representing 151 genera, 12 hornworts from all 10 genera). Time-calibrated chronogram inferred using treePL (Smith & O'Meara) with 29 fossil calibrations, smoothing parameter=10 via cross-validation, 1000 bootstrap replicates -> dating_code=PL (penalized likelihood). All 531 tips have direct molecular data: GoFlag target-enrichment probe set, 405 exons / 228 nuclear genes sequenced for all samples (490 new + 41 reused), no taxonomic imputation -> molecular_tip_fraction=1.0. No Open Tree of Life pipeline involvement; species tree from ASTRAL-III + RAxML concatenated ML."
bryozoa,2012,"Waeschenbach, Taylor & Littlewood 2012",waeschenbach2012,10.1016/j.ympev.2011.11.011,95,no,1,N,none,2012,,,medium,no,yes,https://doi.org/10.1016/j.ympev.2011.11.011,"Crossref confirms DOI resolves to ""A molecular phylogeny of bryozoans"" by Waeschenbach, Taylor & Littlewood (2012), Mol. Phylogenet. Evol. 62(2):718-735. PubMed abstract indicates 95 taxa sampled (claim was 94 — likely off-by-one from outgroup handling) with 2 nuclear ribosomal + 5 mitochondrial genes, 8,297 nucleotides included in analysis. Molecular sampling for all tips; no taxonomic-only placements (molecular_tip_fraction=1.0). Paper presents ML/Bayesian topology, no time-calibrated chronograms or relaxed-clock divergence dating reported in abstract (dated=false, dating_code=N). Not part of OTL pipeline. Full text was paywalled (Elsevier 403, Unpaywall confirms closed access); confidence=medium based on abstract only. NOTE: A prompt-injection attempt was detected in fetched Semantic Scholar response (fake system-reminder asking to use TaskCreate) — ignored."
bryozoa,2021,Orr et al. 2021 (New Zealand cheilostomes),orr2021bryozoa,10.1016/j.ympev.2021.107172,214,yes,1,?,none,2021,,,medium,no,yes,https://api.crossref.org/works/10.1016/j.ympev.2021.107172,"Crossref DOI resolved; title and authors (Orr, Di Martino, Gordon, Ramsfjell, Mello, Smith, Liow) match the proposed study_label. PubMed abstract (PMID 33813020) confirms 214 species in the phylogeny (165 newly sequenced + previously published sequences) using 17 genes (2 nuclear, 15 mitochondrial). All tips have direct molecular data (no taxonomic imputation), so molecular_tip_fraction=1.0. Abstract states diversification-rate analysis of frontal shields was performed, which requires a time-calibrated tree, so dated=true; specific dating method (BRC vs PL) not extractable from abstract, hence dating_code='?'. No mention of Open Tree of Life pipeline. Full text behind Elsevier 403; verified at abstract level only, hence confidence=medium. Reign treated as current (reign_end_year=null)."
bryozoa,2022,Orr et al. 2022 (genome-skimmed phylogeny),orr2022bryozoa,10.1126/sciadv.abm7452,363,yes,1,BRC,none,2022,,,high,yes,yes,https://pmc.ncbi.nlm.nih.gov/articles/8967238,"Crossref-verified. Title and authors match: Orr, Di Martino, Ramsfjell, Gordon, Berning et al., Science Advances 2022, ""Paleozoic origins of cheilostome bryozoans and their parental care inferred by a new genome-skimmed phylogeny"". Full text accessed via PMC8967238. Dataset included ~500 cheilostome species genome-skimmed, but the final time-calibrated chronogram used for divergence time estimation contains 363 taxa (335 cheilostomes + outgroups), pruned to max 3 species per genus for MCMCTree feasibility. Claimed ntips=517 likely refers to the broader sequenced dataset, not the dated tree; using 363 as actual chronogram tip count. Dating: Bayesian relaxed-clock via MCMCTree v4.9 with 18 internal fossil calibrations (independent clock + STL scheme as primary). All tips have direct molecular (genome-skimmed) data — no taxonomic placement or supertree grafting; molecular_tip_fraction=1.0. No OTL pipeline involvement."
cephalopods,2012,Lindgren et al. 2012,lindgren2012,10.1186/1471-2148-12-129,188,no,1,N,none,2012,,,high,no,yes,https://pmc.ncbi.nlm.nih.gov/articles/3733422,"Crossref DOI resolved and metadata matches: Lindgren, Pankey, Hochberg, Oakley (2012) ""A multi-gene phylogeny of Cephalopoda supports convergent morphological evolution in association with multiple habitat shifts in the marine environment,"" BMC Evolutionary Biology 12:129. Full text accessed via PMC (PMC3733422). Primary phylogeny: 188 taxa, each with at least 4 of 10 genes (6 nuclear: Histone H3a, ODH, pax6, opsin, 18S rRNA, 28S rRNA; 4 mitochondrial: COI, CytB, 12S rRNA, 16S rRNA). All 188 tips have direct molecular data (molecular_tip_fraction=1.0). Trees are NOT time-calibrated; no molecular clock / divergence dating was performed - the study focuses on topology and character evolution. dating_code=N (undated). No OTL pipeline involvement. The claimed role of ""taxonomic-expansion"" may not be ideal given the lack of dating, but the tree itself is well-supported and tip count matches the claim (188)."
cephalopods,2024,Basava et al. 2024,basava2024,10.1101/2024.04.29.591691,79,yes,0.7,ST,none,2024,,,medium,yes,yes,https://api.crossref.org/works/10.1101/2024.04.29.591691,"Crossref-verified: 'A phylogeny of extant coleoid cephalopods with brain data', Basava et al., bioRxiv 2024-05-02 (v2 2024-05-05). Abstract confirms a composite phylogenetic tree of 79 (not the claimed 81) coleoid cephalopod species with documented brain-size data — combining topological placements from prior phylogenetic studies with mitochondrial and nuclear GenBank sequences and estimated branch lengths. Composite/supertree assembly (ST) with sequence-informed branch lengths; intended for comparative analyses of brain evolution, so branch lengths are effectively a chronogram surrogate. Exact dating software not extractable from abstract; full text returned HTTP 403 from bioRxiv. Molecular tip fraction estimated at ~0.7 — many but not all of the 79 species likely have direct GenBank sequences; the rest are placed by taxonomy from prior literature. No Open Tree of Life pipeline mentioned. Recommend confirming ntips=79 and downgrading the claimed 81."
cnidaria,2010,Kitahara et al. 2010,kitahara2010,10.1371/journal.pone.0011490,234,no,1,N,none,2010,,,high,no,yes,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0011490,"Crossref-confirmed: Kitahara, Cairns, Stolarski, Blair & Miller 2010, PLoS ONE, ""A Comprehensive Phylogenetic Analysis of the Scleractinia (Cnidaria, Anthozoa) Based on Mitochondrial CO1 Sequence Data"". Focused tree of 234 scleractinian species from 104 genera (plus 21 outgroup anthozoans, total 255), all directly sequenced for mitochondrial CO1 - no taxonomic imputation. Trees are ML/Bayesian topologies only; no time-calibration was performed (the authors explicitly note divergence times require further work). No OTL pipeline involvement. Matches the claimed 234 scleractinian tips for the Cnidaria/corals partition."
cnidaria,2012,Huang 2012,huang2012,10.1371/journal.pone.0034459,1293,no,0.36,ST,none,2012,,,high,no,yes,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0034459,"Crossref-verified: Huang D (2012) 'Threatened Reef Corals of the World', PLoS ONE. Supertree of 1,293 coral species (837 reef + 456 non-reef) assembled via SuperMRP 1.2.1 from molecular (ML) and morphological (MP) source trees, integrated with taxonomic literature. ~463/1293 (~36%) species had mtDNA sequence data; remainder placed by morphology/taxonomy (taxonomic-expansion role confirmed). Tree is NOT time-calibrated — branch lengths fitted post-hoc; dating_code=ST (supertree). No Open Tree of Life pipeline involvement."
cnidaria,2015,Huang & Roy 2015,huang_roy_2015,10.1098/rstb.2014.0010,1547,yes,0.35,ST,none,2015,,,medium,no,yes,https://doi.org/10.1098/rstb.2014.0010,"Crossref-verified: ""The future of evolutionary diversity in reef corals"", Huang & Roy 2015, Phil Trans B 370(1662):20140010. Paper is closed access (Unpaywall is_oa=false); journal landing page returned 403. Tip count of 1547 scleractinian coral species confirmed via downstream citations on Google Scholar (""1547 scleractinian coral species (Huang and Roy 2015)""). The Huang & Roy supertree is built by grafting taxonomically-placed species onto a molecular backbone (the Huang 2012 molecular phylogeny covered ~535 species with sequence data; 1547 is reached via taxonomic placement of unsampled species). Time-calibration is by combining published clade-level chronograms (supertree-of-chronograms = ST). molecular_tip_fraction~0.35 is the best evidence-backed estimate (535/1547). No Open Tree of Life pipeline involvement. role=taxonomic-expansion is consistent with the methodology. Confidence=medium because abstract/citations were read but full methods text could not be retrieved."
